semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,0.7494,0.7624,0.7537,0.7719,0.7579,22.2,model_pts_smote/tuned_6/dnn_sem_1.keras
2,0.6411,0.773,0.7835,0.7598,0.7663,44.14,model_pts_smote/tuned_6/dnn_sem_2.keras
3,0.5807,0.8046,0.8063,0.8087,0.8037,80.12,model_pts_smote/tuned_6/dnn_sem_3.keras
4,0.5945,0.8023,0.8028,0.7987,0.7976,80.04,model_pts_smote/tuned_6/dnn_sem_4.keras
5,0.575,0.8044,0.8055,0.8017,0.8013,78.22,model_pts_smote/tuned_6/dnn_sem_5.keras
6,0.5802,0.7977,0.803,0.7987,0.7979,89.74,model_pts_smote/tuned_6/dnn_sem_6.keras
7,0.5646,0.8052,0.8079,0.8068,0.8029,98.5,model_pts_smote/tuned_6/dnn_sem_7.keras
8,0.5616,0.7984,0.7989,0.7998,0.7978,134.02,model_pts_smote/tuned_6/dnn_sem_8.keras
9,0.5293,0.8176,0.8195,0.8184,0.8168,170.83,model_pts_smote/tuned_6/dnn_sem_9.keras
10,0.598,0.8109,0.8177,0.8121,0.8104,177.16,model_pts_smote/tuned_6/dnn_sem_10.keras
11,0.549,0.8108,0.8147,0.811,0.8111,166.92,model_pts_smote/tuned_6/dnn_sem_11.keras
14,0.5017,0.822,0.823,0.8221,0.8214,121.05,model_pts_smote/tuned_6/dnn_sem_14.keras
13,0.5014,0.8248,0.8282,0.8249,0.8238,138.17,model_pts_smote/tuned_6/dnn_sem_13.keras
12,0.5224,0.8213,0.8267,0.8214,0.8212,188.34,model_pts_smote/tuned_6/dnn_sem_12.keras
