semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,1.0957,0.5962,0.3707,0.31,0.3081,10.2,model_pts_feature_selection/dnn_sem_1.keras
2,0.958,0.6486,0.3673,0.3361,0.3376,16.9,model_pts_feature_selection/dnn_sem_2.keras
3,0.891,0.6771,0.3955,0.3538,0.3587,23.03,model_pts_feature_selection/dnn_sem_3.keras
4,0.8465,0.6935,0.5105,0.384,0.3991,27.14,model_pts_feature_selection/dnn_sem_4.keras
5,0.8121,0.7103,0.5602,0.4177,0.4379,30.68,model_pts_feature_selection/dnn_sem_5.keras
6,0.7873,0.7077,0.5121,0.4146,0.4281,34.83,model_pts_feature_selection/dnn_sem_6.keras
7,0.7789,0.7168,0.5999,0.4443,0.4736,40.36,model_pts_feature_selection/dnn_sem_7.keras
8,0.7652,0.7219,0.5194,0.4395,0.46,44.71,model_pts_feature_selection/dnn_sem_8.keras
9,0.7597,0.7219,0.5259,0.4444,0.4664,44.12,model_pts_feature_selection/dnn_sem_9.keras
10,0.7378,0.7294,0.5634,0.469,0.4985,43.68,model_pts_feature_selection/dnn_sem_10.keras
11,0.7445,0.7286,0.5778,0.4741,0.5019,44.4,model_pts_feature_selection/dnn_sem_11.keras
12,0.7419,0.7252,0.5336,0.4578,0.4694,45.4,model_pts_feature_selection/dnn_sem_12.keras
13,0.739,0.727,0.5799,0.4504,0.4752,45.59,model_pts_feature_selection/dnn_sem_13.keras
14,0.7391,0.7312,0.5773,0.4763,0.4966,44.98,model_pts_feature_selection/dnn_sem_14.keras
