semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,1.0955,0.5909,0.3013,0.2902,0.2853,10.55,model_pts_feature_selection/dnn_sem_1.keras
2,1.0316,0.6129,0.3621,0.3042,0.3007,17.48,model_pts_feature_selection/dnn_sem_2.keras
3,0.9805,0.634,0.3915,0.3228,0.3272,24.12,model_pts_feature_selection/dnn_sem_3.keras
4,0.9513,0.6459,0.4428,0.3539,0.3631,36.35,model_pts_feature_selection/dnn_sem_4.keras
5,0.9298,0.6592,0.44,0.3658,0.3793,43.63,model_pts_feature_selection/dnn_sem_5.keras
6,0.911,0.6633,0.4942,0.3591,0.3704,50.2,model_pts_feature_selection/dnn_sem_6.keras
7,0.9033,0.6631,0.5045,0.418,0.4366,55.67,model_pts_feature_selection/dnn_sem_7.keras
8,0.8715,0.6765,0.5132,0.4155,0.4353,59.36,model_pts_feature_selection/dnn_sem_8.keras
9,0.857,0.684,0.5348,0.4427,0.4572,61.8,model_pts_feature_selection/dnn_sem_9.keras
10,0.8575,0.672,0.5164,0.4217,0.4468,62.43,model_pts_feature_selection/dnn_sem_10.keras
11,0.8505,0.6754,0.5496,0.4349,0.4598,65.39,model_pts_feature_selection/dnn_sem_11.keras
12,0.8453,0.6788,0.5423,0.4311,0.4588,77.21,model_pts_feature_selection/dnn_sem_12.keras
13,0.8652,0.6686,0.5317,0.446,0.4698,81.42,model_pts_feature_selection/dnn_sem_13.keras
14,0.8503,0.6841,0.5684,0.4161,0.4353,83.52,model_pts_feature_selection/dnn_sem_14.keras
