,0,1,2,3,4,5,6,7
1,0.178,0.58354753,0.70715475,0.97409326,0.8984831,0.2,0.5866935,0.8587444
2,0.63214284,0.79014087,0.90793514,1.0,0.878125,0.33097345,0.4442083,0.7781641
3,0.6834171,0.7075564,0.9393128,1.0,0.9026938,0.5288945,0.55004,0.7837259
4,0.79113925,0.4170507,0.98722315,1.0,0.7465224,0.56534094,0.7311969,0.66993624
5,0.7831001,0.71384615,0.9395002,0.997996,0.8898226,0.32707354,0.8122942,0.7250462
6,0.6784859,0.7152741,0.95888597,0.977152,0.86042553,0.7878788,0.7872635,0.74642694
7,0.93391466,0.89249396,0.9894023,1.0,0.9408673,0.92821085,0.830206,0.9093722
8,0.7120674,0.7556242,0.8020017,1.0,0.9220383,0.5891671,0.85258424,0.76950675
9,0.7443609,0.8451467,0.95602465,0.9951606,0.80525637,0.8368594,0.6157918,0.75547606
10,0.7384149,0.85869074,0.992311,0.99955475,0.73608065,0.76690394,0.6571936,0.73996353
11,0.774903,0.7663934,0.9784521,0.99731183,0.81936044,0.77213484,0.7466319,0.6290538
12,0.7937692,0.79846364,0.9649123,1.0,0.7133508,0.7649955,0.7728086,0.6438658
